year,fullname,count
1970,Mid-year population, age 0 years, by sex,31000.0
2019,Mid-year population, age 0 years, by sex,3508.0
1950,Mid-year population, age 0 years, by sex,110700.0
1951,Mid-year population, age 0 years, by sex,108800.0
1952,Mid-year population, age 0 years, by sex,109100.0
1953,Mid-year population, age 0 years, by sex,109100.0
1954,Mid-year population, age 0 years, by sex,108500.0
1955,Mid-year population, age 0 years, by sex,109100.0
1956,Mid-year population, age 0 years, by sex,110100.0
1957,Mid-year population, age 0 years, by sex,111200.0
1958,Mid-year population, age 0 years, by sex,112900.0
1959,Mid-year population, age 0 years, by sex,115200.0
1960,Mid-year population, age 0 years, by sex,115600.0
1961,Mid-year population, age 0 years, by sex,116800.0
1962,Mid-year population, age 0 years, by sex,118800.0
1963,Mid-year population, age 0 years, by sex,119200.0
1964,Mid-year population, age 0 years, by sex,120100.0
1965,Mid-year population, age 0 years, by sex,119000.0
1966,Mid-year population, age 0 years, by sex,116500.0
1967,Mid-year population, age 0 years, by sex,115100.0
1968,Mid-year population, age 0 years, by sex,114700.0
1969,Mid-year population, age 0 years, by sex,117000.0
1970,Mid-year population, age 0 years, by sex,117400.0
1971,Mid-year population, age 0 years, by sex,112500.0
1972,Mid-year population, age 0 years, by sex,106700.0
1973,Mid-year population, age 0 years, by sex,99100.0
1974,Mid-year population, age 0 years, by sex,92200.0
1975,Mid-year population, age 0 years, by sex,88300.0
1976,Mid-year population, age 0 years, by sex,86000.0
1977,Mid-year population, age 0 years, by sex,84700.0
1978,Mid-year population, age 0 years, by sex,84700.0
1979,Mid-year population, age 0 years, by sex,85300.0
1980,Mid-year population, age 0 years, by sex,86700.0
1981,Mid-year population, age 0 years, by sex,87700.0
1982,Mid-year population, age 0 years, by sex,85500.0
1983,Mid-year population, age 0 years, by sex,83200.0
1984,Mid-year population, age 0 years, by sex,83800.0
1985,Mid-year population, age 0 years, by sex,85800.0
1986,Mid-year population, age 0 years, by sex,88700.0
1987,Mid-year population, age 0 years, by sex,90400.0
1988,Mid-year population, age 0 years, by sex,90700.0
1989,Mid-year population, age 0 years, by sex,91600.0
1990,Mid-year population, age 0 years, by sex,94100.0
1991,Mid-year population, age 0 years, by sex,96500.0
1992,Mid-year population, age 0 years, by sex,96100.0
1993,Mid-year population, age 0 years, by sex,95500.0
1994,Mid-year population, age 0 years, by sex,95500.0
1995,Mid-year population, age 0 years, by sex,94400.0
1996,Mid-year population, age 0 years, by sex,92700.0
1997,Mid-year population, age 0 years, by sex,93300.0
1998,Mid-year population, age 0 years, by sex,95800.0
1999,Mid-year population, age 0 years, by sex,97900.0
2000,Mid-year population, age 0 years, by sex,99720.0
2001,Mid-year population, age 0 years, by sex,100389.0
2002,Mid-year population, age 0 years, by sex,99053.0
2003,Mid-year population, age 0 years, by sex,98119.0
2004,Mid-year population, age 0 years, by sex,96178.5
2005,Mid-year population, age 0 years, by sex,92979.0
2006,Mid-year population, age 0 years, by sex,90534.0
2007,Mid-year population, age 0 years, by sex,89174.0
2008,Mid-year population, age 0 years, by sex,89134.0
2009,Mid-year population, age 0 years, by sex,89952.0
2010,Mid-year population, age 0 years, by sex,90151.0
2011,Mid-year population, age 0 years, by sex,88837.0
2012,Mid-year population, age 0 years, by sex,86594.0
2013,Mid-year population, age 0 years, by sex,84410.0
2014,Mid-year population, age 0 years, by sex,84336.0
2015,Mid-year population, age 0 years, by sex,84242.0
2016,Mid-year population, age 0 years, by sex,83432.0
2017,Mid-year population, age 0 years, by sex,83213.0
2018,Mid-year population, age 0 years, by sex,82418.0
2019,Mid-year population, age 0 years, by sex,82493.5
2020,Mid-year population, age 0 years, by sex,82083.5
1950,Mid-year population, age 0 years, by sex,29800.0
1951,Mid-year population, age 0 years, by sex,29200.0
1952,Mid-year population, age 0 years, by sex,29200.0
1953,Mid-year population, age 0 years, by sex,29900.0
1954,Mid-year population, age 0 years, by sex,30200.0
1955,Mid-year population, age 0 years, by sex,30300.0
1956,Mid-year population, age 0 years, by sex,30600.0
1957,Mid-year population, age 0 years, by sex,30600.0
1958,Mid-year population, age 0 years, by sex,30200.0
1959,Mid-year population, age 0 years, by sex,30100.0
1960,Mid-year population, age 0 years, by sex,29900.0
1961,Mid-year population, age 0 years, by sex,29700.0
1962,Mid-year population, age 0 years, by sex,29900.0
1963,Mid-year population, age 0 years, by sex,30200.0
1964,Mid-year population, age 0 years, by sex,30900.0
1965,Mid-year population, age 0 years, by sex,31400.0
1966,Mid-year population, age 0 years, by sex,31800.0
1967,Mid-year population, age 0 years, by sex,32100.0
1968,Mid-year population, age 0 years, by sex,32100.0
1969,Mid-year population, age 0 years, by sex,32400.0
1970,Mid-year population, age 0 years, by sex,31800.0
1971,Mid-year population, age 0 years, by sex,31400.0
1972,Mid-year population, age 0 years, by sex,31400.0
1973,Mid-year population, age 0 years, by sex,29500.0
1974,Mid-year population, age 0 years, by sex,29300.0
1975,Mid-year population, age 0 years, by sex,28200.0
1976,Mid-year population, age 0 years, by sex,26600.0
1977,Mid-year population, age 0 years, by sex,25300.0
1978,Mid-year population, age 0 years, by sex,24900.0
1979,Mid-year population, age 0 years, by sex,25000.0
1980,Mid-year population, age 0 years, by sex,24800.0
1981,Mid-year population, age 0 years, by sex,24700.0
1982,Mid-year population, age 0 years, by sex,24800.0
1983,Mid-year population, age 0 years, by sex,24400.0
1984,Mid-year population, age 0 years, by sex,24300.0
1985,Mid-year population, age 0 years, by sex,24600.0
1986,Mid-year population, age 0 years, by sex,25100.0
1987,Mid-year population, age 0 years, by sex,25900.0
1988,Mid-year population, age 0 years, by sex,27200.0
1989,Mid-year population, age 0 years, by sex,28300.0
1990,Mid-year population, age 0 years, by sex,29200.0
1991,Mid-year population, age 0 years, by sex,29500.0
1992,Mid-year population, age 0 years, by sex,29200.0
1993,Mid-year population, age 0 years, by sex,29000.0
1994,Mid-year population, age 0 years, by sex,29100.0
1995,Mid-year population, age 0 years, by sex,29200.0
1996,Mid-year population, age 0 years, by sex,29300.0
1997,Mid-year population, age 0 years, by sex,29200.0
1998,Mid-year population, age 0 years, by sex,28700.0
1999,Mid-year population, age 0 years, by sex,28659.0
2000,Mid-year population, age 0 years, by sex,28846.0
2001,Mid-year population, age 0 years, by sex,28235.0
2002,Mid-year population, age 0 years, by sex,27429.0
2003,Mid-year population, age 0 years, by sex,27358.0
2004,Mid-year population, age 0 years, by sex,27670.0
2005,Mid-year population, age 0 years, by sex,27813.0
2006,Mid-year population, age 0 years, by sex,28231.0
2007,Mid-year population, age 0 years, by sex,28613.0
2008,Mid-year population, age 0 years, by sex,29003.0
2009,Mid-year population, age 0 years, by sex,29785.0
2010,Mid-year population, age 0 years, by sex,30108.0
2011,Mid-year population, age 0 years, by sex,29705.0
2012,Mid-year population, age 0 years, by sex,29417.0
2013,Mid-year population, age 0 years, by sex,29254.5
2014,Mid-year population, age 0 years, by sex,28922.0
2015,Mid-year population, age 0 years, by sex,28845.0
2016,Mid-year population, age 0 years, by sex,28768.0
2017,Mid-year population, age 0 years, by sex,28156.5
2018,Mid-year population, age 0 years, by sex,27231.5
2019,Mid-year population, age 0 years, by sex,26727.0
2020,Mid-year population, age 0 years, by sex,26312.0
1950,Mid-year population, age 0 years, by sex,324200.0
1951,Mid-year population, age 0 years, by sex,346900.0
1952,Mid-year population, age 0 years, by sex,352300.0
1953,Mid-year population, age 0 years, by sex,353400.0
1954,Mid-year population, age 0 years, by sex,356600.0
1955,Mid-year population, age 0 years, by sex,360600.0
1956,Mid-year population, age 0 years, by sex,361400.0
1957,Mid-year population, age 0 years, by sex,359400.0
1958,Mid-year population, age 0 years, by sex,360400.0
1959,Mid-year population, age 0 years, by sex,345800.0
1960,Mid-year population, age 0 years, by sex,328600.0
1961,Mid-year population, age 0 years, by sex,304600.0
1962,Mid-year population, age 0 years, by sex,289900.0
1963,Mid-year population, age 0 years, by sex,282800.0
1964,Mid-year population, age 0 years, by sex,274800.0
1965,Mid-year population, age 0 years, by sex,266800.0
1966,Mid-year population, age 0 years, by sex,259700.0
1967,Mid-year population, age 0 years, by sex,256500.0
1968,Mid-year population, age 0 years, by sex,252900.0
1969,Mid-year population, age 0 years, by sex,257100.0
1970,Mid-year population, age 0 years, by sex,246300.0
1971,Mid-year population, age 0 years, by sex,260800.0
1972,Mid-year population, age 0 years, by sex,267400.0
1973,Mid-year population, age 0 years, by sex,274200.0
1974,Mid-year population, age 0 years, by sex,286900.0
1975,Mid-year population, age 0 years, by sex,305400.0
1976,Mid-year population, age 0 years, by sex,316000.0
1977,Mid-year population, age 0 years, by sex,322400.0
1978,Mid-year population, age 0 years, by sex,321700.0
1979,Mid-year population, age 0 years, by sex,328300.0
1980,Mid-year population, age 0 years, by sex,335900.0
1981,Mid-year population, age 0 years, by sex,331000.0
1982,Mid-year population, age 0 years, by sex,332200.0
1983,Mid-year population, age 0 years, by sex,343700.0
1984,Mid-year population, age 0 years, by sex,346200.0
1985,Mid-year population, age 0 years, by sex,334200.0
1986,Mid-year population, age 0 years, by sex,320200.0
1987,Mid-year population, age 0 years, by sex,298800.0
1988,Mid-year population, age 0 years, by sex,291000.0
1989,Mid-year population, age 0 years, by sex,278900.0
1990,Mid-year population, age 0 years, by sex,269100.0
1991,Mid-year population, age 0 years, by sex,265200.0
1992,Mid-year population, age 0 years, by sex,256800.0
1993,Mid-year population, age 0 years, by sex,243100.0
1994,Mid-year population, age 0 years, by sex,236700.0
1995,Mid-year population, age 0 years, by sex,218900.0
1996,Mid-year population, age 0 years, by sex,207400.0
1997,Mid-year population, age 0 years, by sex,204700.0
1998,Mid-year population, age 0 years, by sex,194800.0
1999,Mid-year population, age 0 years, by sex,187700.0
2000,Mid-year population, age 0 years, by sex,188081.0
2001,Mid-year population, age 0 years, by sex,181842.0
2002,Mid-year population, age 0 years, by sex,174450.0
2003,Mid-year population, age 0 years, by sex,169582.0
2004,Mid-year population, age 0 years, by sex,170905.0
2005,Mid-year population, age 0 years, by sex,175442.0
2006,Mid-year population, age 0 years, by sex,178254.0
2007,Mid-year population, age 0 years, by sex,183484.0
2008,Mid-year population, age 0 years, by sex,193099.0
2009,Mid-year population, age 0 years, by sex,206533.0
2010,Mid-year population, age 0 years, by sex,198698.0
2011,Mid-year population, age 0 years, by sex,185444.0
2012,Mid-year population, age 0 years, by sex,185267.0
2013,Mid-year population, age 0 years, by sex,177718.0
2014,Mid-year population, age 0 years, by sex,175550.0
2015,Mid-year population, age 0 years, by sex,176436.0
2016,Mid-year population, age 0 years, by sex,178005.0
2017,Mid-year population, age 0 years, by sex,189768.0
2018,Mid-year population, age 0 years, by sex,179339.0
2019,Mid-year population, age 0 years, by sex,179339.0
1950,Mid-year population, age 0 years, by sex,84600.0
1951,Mid-year population, age 0 years, by sex,91100.0
1952,Mid-year population, age 0 years, by sex,94900.0
1953,Mid-year population, age 0 years, by sex,92400.0
1954,Mid-year population, age 0 years, by sex,90200.0
1955,Mid-year population, age 0 years, by sex,92200.0
1956,Mid-year population, age 0 years, by sex,95900.0
1957,Mid-year population, age 0 years, by sex,95000.0
1958,Mid-year population, age 0 years, by sex,95000.0
1959,Mid-year population, age 0 years, by sex,98100.0
1960,Mid-year population, age 0 years, by sex,90800.0
1961,Mid-year population, age 0 years, by sex,99500.0
1962,Mid-year population, age 0 years, by sex,100800.0
1963,Mid-year population, age 0 years, by sex,97400.0
1964,Mid-year population, age 0 years, by sex,99000.0
1965,Mid-year population, age 0 years, by sex,96000.0
1966,Mid-year population, age 0 years, by sex,93700.0
1967,Mid-year population, age 0 years, by sex,92400.0
1968,Mid-year population, age 0 years, by sex,87900.0
1969,Mid-year population, age 0 years, by sex,85500.0
1970,Mid-year population, age 0 years, by sex,70000.0
1971,Mid-year population, age 0 years, by sex,88300.0
1972,Mid-year population, age 0 years, by sex,81000.0
1973,Mid-year population, age 0 years, by sex,80500.0
1974,Mid-year population, age 0 years, by sex,80700.0
1975,Mid-year population, age 0 years, by sex,90500.0
1976,Mid-year population, age 0 years, by sex,86400.0
1977,Mid-year population, age 0 years, by sex,86900.0
1978,Mid-year population, age 0 years, by sex,87300.0
1979,Mid-year population, age 0 years, by sex,87700.0
1980,Mid-year population, age 0 years, by sex,77400.0
1981,Mid-year population, age 0 years, by sex,72100.0
1982,Mid-year population, age 0 years, by sex,72300.0
1983,Mid-year population, age 0 years, by sex,70100.0
1984,Mid-year population, age 0 years, by sex,68000.0
1985,Mid-year population, age 0 years, by sex,64916.0
1986,Mid-year population, age 0 years, by sex,60848.0
1987,Mid-year population, age 0 years, by sex,58693.0
1988,Mid-year population, age 0 years, by sex,57118.0
1989,Mid-year population, age 0 years, by sex,56209.0
1990,Mid-year population, age 0 years, by sex,54637.0
1991,Mid-year population, age 0 years, by sex,54483.0
1992,Mid-year population, age 0 years, by sex,55396.0
1993,Mid-year population, age 0 years, by sex,55094.0
1994,Mid-year population, age 0 years, by sex,53520.0
1995,Mid-year population, age 0 years, by sex,51594.0
1996,Mid-year population, age 0 years, by sex,51679.0
1997,Mid-year population, age 0 years, by sex,53165.0
1998,Mid-year population, age 0 years, by sex,54023.0
1999,Mid-year population, age 0 years, by sex,54749.0
2000,Mid-year population, age 0 years, by sex,55275.0
2001,Mid-year population, age 0 years, by sex,54679.0
2002,Mid-year population, age 0 years, by sex,54590.0
2003,Mid-year population, age 0 years, by sex,54534.0
2004,Mid-year population, age 0 years, by sex,53544.0
2005,Mid-year population, age 0 years, by sex,52787.0
2006,Mid-year population, age 0 years, by sex,51966.0
2007,Mid-year population, age 0 years, by sex,50484.0
2008,Mid-year population, age 0 years, by sex,50039.0
2009,Mid-year population, age 0 years, by sex,49421.0
2010,Mid-year population, age 0 years, by sex,49031.0
2011,Mid-year population, age 0 years, by sex,48137.0
2012,Mid-year population, age 0 years, by sex,45099.0
